"position","wealth","industry","full_name","age","country_of_residence","city_of_residence","source","citizenship","gender"
1164,2600,"Finance & Investments","Alicia Koplowitz",69,"Spain","Madrid","Construction, investments","Spain","F"
1164,2600,"Real Estate","Adam Kwok",40,"Hong Kong","Hong Kong","Real estate","Hong Kong","M"
1164,2600,"Finance & Investments","Henry Laufer",77,"United States","Lake Worth","Hedge funds","United States","M"
1164,2600,"Food & Beverage","Louis Le Duff",76,"France","Paris","Bakeries","France","M"
1164,2600,"Technology","Mark Leonard & family",66,"Canada","Toronto","Software","Canada","M"
1164,2600,"Automotive","Li Guoqiang",59,"China","Beijing","Auto dealerships","China","M"
1164,2600,"Service","Li Yongxin",47,"China","Beijing","Education","China","M"
1164,2600,"Finance & Investments","Peter Lim",69,"Singapore","Singapore","Investments","Singapore","M"
1164,2600,"Diversified","Lu Weiding",52,"China","Hangzhou","Diversified","China","M"
1164,2600,"Service","Sergio Mantegazza",95,"Switzerland","Lugano","Travel","Switzerland","M"
1164,2600,"Finance & Investments","Hans Melchers",84,"Netherlands","Vorden","Chemicals, investments","Netherlands","M"
1164,2600,"Food & Beverage","C. Dean Metropoulos",76,"United States","Palm Beach","Investments","United States","M"
1164,2600,"Manufacturing","Hans Georg Naeder",61,"Germany","Duderstadt","Prosthetics","Germany","M"
1164,2600,"Fashion & Retail","Falguni Nayar",60,"India","Mumbai","Retailing","India","F"
1164,2600,"Finance & Investments","James Packer",55,"United States","Los Angeles","Investments","Australia","M"
1164,2600,"Logistics","Alexander Ponomarenko",58,"Russia","Moscow","Real estate, airport","Russia","M"
1164,2600,"Finance & Investments","Nicholas Pritzker",79,"United States","Nicasio","Hotels, investments","United States","M"
1164,2600,"Food & Beverage","Alejandro Santo Domingo",46,"United States","New York","Beer","United States","M"
1164,2600,"Technology","Steven Sarowitz",57,"United States","Highland Park","Payroll software","United States","M"
1164,2600,"Automotive","Maria-Elisabeth Schaeffler-Thumann",81,"Germany","Herzogenaurach","Auto parts","Germany","F"
1164,2600,"Healthcare","Leonard Schleifer",70,"United States","Tarrytown","Pharmaceuticals","United States","M"
1164,2600,"Manufacturing","Dieter Schnabel",77,"Germany","Hamburg","Chemicals","Germany","M"
1164,2600,"Energy","Michael S. Smith",67,"United States","Miami Beach","Liquefied natural gas","United States","M"
1164,2600,"Manufacturing","Julia Thiele-Schuerhoff",51,"Germany","Munich","Brakes, investments","Germany","F"
1164,2600,"Food & Beverage","John Tyson & family",69,"United States","Springdale","Food processing","United States","M"
1164,2600,"Manufacturing","Anna Katharina Viessmann",65,"Germany","Battenberg","Heating and cooling equipment","Germany","F"
1164,2600,"Technology","Zhao Lixin",57,"China","Shanghai","Electronics","China","M"
1164,2600,"Technology","Hongyi Zhou",52,"China","Beijing","Security software","China","M"
1217,2500,"Food & Beverage","S. Daniel Abraham",98,"United States","Palm Beach","Slim-Fast","United States","M"
1217,2500,"Fashion & Retail","Bill Alfond",74,"United States","Boston","Shoes","United States","M"
1217,2500,"Fashion & Retail","Susan Alfond",77,"United States","Scarborough","Shoes","United States","F"
1217,2500,"Fashion & Retail","Ted Alfond",78,"United States","Weston","Shoes","United States","M"
1217,2500,"Construction & Engineering","Riley Bechtel & family",71,"United States","San Francisco","Engineering, construction","United States","M"
1217,2500,"Diversified","Thor Bjorgolfsson",56,"United Kingdom","London","Investments","Iceland","M"
1217,2500,"Food & Beverage","Charles Bronfman",91,"United States","Palm Beach","Liquor","Canada","M"
1217,2500,"Food & Beverage","Vivek Chand Burman",85,"India","Delhi","Consumer goods","India","M"
1217,2500,"Automotive","Herb Chambers",81,"United States","Boston","Car dealerships","United States","M"
1217,2500,"Media & Entertainment","Cheng Yixiao",39,"China","Beijing","Video streaming app","China","M"
1217,2500,"Food & Beverage","Andrew Cherng",75,"United States","Las Vegas","Fast food","United States","M"
1217,2500,"Food & Beverage","Peggy Cherng",75,"United States","Las Vegas","Fast food","United States","F"
1217,2500,"Finance & Investments","Leon G. Cooperman",79,"United States","Boca Raton","Hedge funds","United States","M"
1217,2500,"Manufacturing","Yadu Hari Dalmia & family",75,"India","Delhi","Cement","India","M"
1217,2500,"Food & Beverage","Henry Davis",72,"United States","Omaha","Beef processing","United States","M"
1217,2500,"Metals & Mining","Oleg Deripaska",55,"Russia","Moscow","Aluminum, utilities","Russia","M"
1217,2500,"Technology","Sergey Dmitriev",57,"Cyprus","Paralimni","Software","Cyprus","M"
1217,2500,"Finance & Investments","Joseph Edelman",67,"United States","New York","Hedge funds","United States","M"
1217,2500,"Manufacturing","Sandeep Engineer",61,"India","Ahmedabad","Plastic pipes","India","M"
1217,2500,"Energy","Alceu Elias Feldmann & family",73,"Brazil","Curitiba","Fertilizer","Brazil","M"
1217,2500,"Technology","Serge Godin",73,"Canada","Westmount","Information technology","Canada","M"
1217,2500,"Finance & Investments","Alec Gores",70,"United States","Beverly Hills","Private equity","United States","M"
1217,2500,"Fashion & Retail","Bill Haslam",64,"United States","Knoxville","Gas stations","United States","M"
1217,2500,"Finance & Investments","J. Tomilson Hill",74,"United States","New York","Investments","United States","M"
1217,2500,"Media & Entertainment","Jay-Z",53,"United States","New York","Music","United States","M"
1217,2500,"Automotive","Baba Kalyani",74,"India","Pune","Engineering","India","M"
1217,2500,"Energy","Saban Cemil Kazanci",62,"Turkey","Istanbul","Energy","Turkey","M"
1217,2500,"Real Estate","Brad Kelley",66,"United States","Franklin","Tobacco","United States","M"
1217,2500,"Construction & Engineering","Wolfgang Leitner",70,"Austria","Graz","Engineering","Austria","M"
1217,2500,"Manufacturing","Li Hongxin & family",70,"China","Yanzhou","Paper & related products","China","M"
1217,2500,"Real Estate","Lin Chen-hai",76,"Taiwan","Taipei","Real estate","Taiwan","M"
1217,2500,"Fashion & Retail","Lu Yiwen",36,"China","Shenzhen","Jewelry","China","F"
1217,2500,"Food & Beverage","Prayudh Mahagitsiri",77,"Thailand","Bangkok","Coffee, shipping","Thailand","M"
1217,2500,"Healthcare","Willy Michel",76,"Switzerland","Burgdorf","Medical devices","Switzerland","M"
1217,2500,"Automotive","Lachhman Das Mittal",92,"India","Delhi","Tractors","India","M"
1217,2500,"Technology","Bobby Murphy",34,"United States","Venice","Snapchat","United States","M"
1217,2500,"Real Estate","Tomas Olivo Lopez",49,"Spain","Marbella","Shopping centers","Spain","M"
1217,2500,"Manufacturing","Eren Ozmen",64,"United States","Reno","Aerospace","United States","F"
1217,2500,"Finance & Investments","John Pritzker",69,"United States","San Francisco","Hotels, investments","United States","M"
1217,2500,"Technology","Qiu Minxiu",77,"China","Shangyu","Semiconductors","China","F"
1217,2500,"Diversified","Ferit Faik Sahenk",59,"Turkey","Istanbul","Diversified","Turkey","M"
1217,2500,"Metals & Mining","Wenrong Shen",77,"China","Zhangjiagang","Steel production","China","M"
1217,2500,"Diversified","Yuzhu Shi",60,"China","Shanghai","Online games, investments","China","M"
1217,2500,"Real Estate","Jeff Sutton",63,"United States","New York","Real estate","United States","M"
1217,2500,"Diversified","Henry Sy, Jr.",69,"Philippines","Manila","Diversified","Philippines","M"
1217,2500,"Diversified","Andrew Tan",71,"Philippines","Manila","Diversified","Philippines","M"
1217,2500,"Energy","Arvind Tiku",53,"Singapore","Singapore","Oil & gas, investments","India","M"
1217,2500,"Finance & Investments","Byron Trott",64,"United States","Winnetka","Investments","United States","M"
1217,2500,"Real Estate","Donald Trump",76,"United States","Palm Beach","Real estate","United States","M"
1217,2500,"Automotive","Peter Unger",78,"Germany","Neustadt an der Waldnaab","Auto repair","Germany","M"
1217,2500,"Fashion & Retail","Roger Wang",74,"China","Nanjing","Retail","United States","M"
1217,2500,"Media & Entertainment","Oprah Winfrey",69,"United States","Montecito","TV shows","United States","F"
1217,2500,"Food & Beverage","Wu Zhigang & family",88,"China","Shenyang","Bakery chain","China","M"
1217,2500,"Metals & Mining","Xie Weitong",66,"Singapore","Unknown","Cobalt","Taiwan","M"
1217,2500,"Fashion & Retail","Ye Guofu",45,"China","Guangzhou","Retail","China","M"
1272,2400,"Technology","Brian Acton",51,"United States","Palo Alto","WhatsApp","United States","M"
1272,2400,"Automotive","Abdulla Al Futtaim & family",83,"United Arab Emirates","Dubai","Auto dealers, investments","United Arab Emirates","M"
1272,2400,"Energy","Edward Bass",77,"United States","Fort Worth","Oil, investments","United States","M"
1272,2400,"Media & Entertainment","Koos Bekker",70,"South Africa","Cape Town","Media, investments","South Africa","M"
1272,2400,"Healthcare","Otto Philipp Braun",45,"Germany","Melsungen","Medical technology","Germany","M"
1272,2400,"Fashion & Retail","Chen Tei-fu",74,"United States","Los Angeles","Herbal products","Taiwan","M"
1272,2400,"Fashion & Retail","Abilio dos Santos Diniz",86,"Brazil","Sao Paulo","Retail","Brazil","M"
1272,2400,"Finance & Investments","Marcel Erni",58,"Switzerland","Zug","Private equity","Switzerland","M"
1272,2400,"Fashion & Retail","Doris Fisher",91,"United States","San Francisco","Gap","United States","F"
1272,2400,"Finance & Investments","Gerald Ford",78,"United States","Dallas","Banking","United States","M"
1272,2400,"Healthcare","Bernard Fraisse & family",66,"France","Paris","Pharmaceuticals","France","M"
1272,2400,"Finance & Investments","Alfred Gantner",55,"Switzerland","Zug","Private equity","Switzerland","M"
1272,2400,"Gambling & Casinos","Paul Gauselmann & family",88,"Germany","Espelkamp","Gambling","Germany","M"
1272,2400,"Real Estate","Mitchell Goldhar",61,"Canada","North York","Real estate","Canada","M"
1272,2400,"Finance & Investments","Peter Hargreaves",76,"United Kingdom","Bristol","Financial services","United Kingdom","M"
1272,2400,"Healthcare","Xuande Hua & family",79,"China","Taizhou","Pharmaceuticals","China","M"
1272,2400,"Diversified","Kwek Leng Kee",68,"Singapore","Singapore","Diversified","Singapore","M"
1272,2400,"Manufacturing","Catherine Lozick",77,"United States","Fort Lauderdale","Valve manufacturing","United States","F"
1272,2400,"Media & Entertainment","Kalanithi Maran",57,"India","Chennai","Media","India","M"
1272,2400,"Finance & Investments","Jed McCaleb",48,"United States","Berkeley","Cryptocurrency","United States","M"
1272,2400,"Manufacturing","Fatih Ozmen",65,"United States","Reno","Aerospace","United States","M"
1272,2400,"Food & Beverage","Pan Laican",59,"China","foshan","Soy sauce","China","M"
1272,2400,"Metals & Mining","Tor Peterson",58,"Switzerland","Zug","Commodities","United States","M"
1272,2400,"Finance & Investments","Daniel Pritzker",63,"United States","Marin County","Hotels, investments","United States","M"
1272,2400,"Real Estate","Jinxing Qi",61,"China","Hangzhou","Real estate","China","M"
1272,2400,"Manufacturing","Qiu Jianping & family",61,"China","Hangzhou","Hand tools","China","M"
1272,2400,"Diversified","Rajan Raheja & family",68,"India","Mumbai","Diversified","India","M"
1272,2400,"Finance & Investments","Matthias Reinhart",63,"Switzerland","Zurich","Financial services","Switzerland","M"
1272,2400,"Technology","Arnout Schuijff",55,"Netherlands","Amsterdam","Payments software","Netherlands","M"
1272,2400,"Diversified","Hans Sy",67,"Philippines","Manila","Diversified","Philippines","M"
1272,2400,"Diversified","Herbert Sy",66,"Philippines","Manila","Diversified","Philippines","M"
1272,2400,"Diversified","Lucio Tan",88,"Philippines","Manila","Diversified","Philippines","M"
1272,2400,"Technology","Tsai Ming-kai",72,"Taiwan","Hsinchu","Semiconductors","Taiwan","M"
1272,2400,"Media & Entertainment","Ted Turner",84,"United States","Atlanta","Cable television","United States","M"
1272,2400,"Real Estate","David Walentas",84,"United States","New York","Real estate","United States","M"
1272,2400,"Finance & Investments","Urs Wietlisbach",61,"Switzerland","Zug","Private equity","Switzerland","M"
1272,2400,"Technology","Jerry Yang",54,"United States","Los Altos Hills","Yahoo","United States","M"
1272,2400,"Manufacturing","Yang Jianliang & family",53,"China","Wuxi","Machinery","China","M"
1272,2400,"Manufacturing","Yang Weidong & family",54,"China","Jiaxing","Chemicals","China","M"
1272,2400,"Real Estate","Mortimer Zuckerman",85,"United States","New York","Real estate, media","United States","M"
1312,2300,"Finance & Investments","John Armitage",63,"United Kingdom","London","Hedge funds","Ireland","M"
1312,2300,"Energy","Lee Bass",66,"United States","Fort Worth","Oil, investments","United States","M"
1312,2300,"Technology","John Bicket",43,"United States","San Francisco","Sensor systems","United States","M"
1312,2300,"Technology","Sanjit Biswas",41,"United States","San Francisco","Sensor systems","United States","M"
1312,2300,"Fashion & Retail","Timothy Boyle",73,"United States","Portland","Columbia Sportswear","United States","M"
1312,2300,"Technology","Morris Chang",91,"Taiwan","Hsinchu","Semiconductors","Taiwan","M"
1312,2300,"Real Estate","Chao Teng-hsiung",78,"Taiwan","Taipei","Real estate","Taiwan","M"
1312,2300,"Manufacturing","Chu Lam Yiu",53,"Hong Kong","Hong Kong","Flavorings","Hong Kong","F"
1312,2300,"Technology","K. Dinesh",68,"India","Bangalore","Software services","India","M"
1312,2300,"Diversified","James Duff",62,"United States","Hattiesburg","Tires, diversified","United States","M"
1312,2300,"Diversified","Thomas Duff",66,"United States","Hattiesburg","Tires, diversified","United States","M"
1312,2300,"Technology","Daniel Ek",40,"Sweden","Stockholm","Spotify","Sweden","M"
1312,2300,"Fashion & Retail","John Fisher",61,"United States","San Francisco","Gap","United States","M"
1312,2300,"Fashion & Retail","Georg Haub",61,"Germany","Berlin","Retail","Germany","M"
1312,2300,"Construction & Engineering","Erman Ilicak",55,"Turkey","Ankara","Construction","Turkey","M"
1312,2300,"Finance & Investments","Justin Ishbia",45,"United States","Chicago","Private equity","United States","M"
1312,2300,"Technology","Long Jiang",49,"China","Weifang","Manufacturing","China","M"
1312,2300,"Finance & Investments","Bruce Karsh",67,"United States","Los Angeles","Private equity","United States","M"
1312,2300,"Technology","Bom Kim",44,"South Korea","Seoul","Online retailing","United States","M"
1312,2300,"Food & Beverage","Jianping Lai",59,"China","Foshan","Soy sauce","China","M"
1312,2300,"Healthcare","Lam Kong",58,"Hong Kong","Hong Kong","Pharmaceuticals","China","M"
1312,2300,"Finance & Investments","Stephen Lansdown",70,"Guernsey","St. Peter Port","Financial services","Guernsey","M"
1312,2300,"Food & Beverage","Li Haiyan",59,"China","Chengdu","Restaurants","China","F"
1312,2300,"Finance & Investments","Hua Li",45,"China","Shenzhen","Financial services","China","M"
1312,2300,"Gambling & Casinos","Lim Kok Thay",71,"Malaysia","Kuala Lumpur","Casinos","Malaysia","M"
1312,2300,"Food & Beverage","Kishore Mariwala",88,"India","Mumbai","Consumer goods","India","M"
1312,2300,"Food & Beverage","Clayton Mathile",82,"United States","Brookville","Pet food","United States","M"
1312,2300,"Fashion & Retail","Mi Enhua",65,"China","Urumqi","Retail","China","M"
1312,2300,"Food & Beverage","Vadim Moshkovich",55,"Russia","Moscow","Agriculture, land","Russia","M"
1312,2300,"Food & Beverage","David Murdock",99,"United States","Ventura","Dole, real estate","United States","M"
1312,2300,"Fashion & Retail","David Nahmad",75,"United States","New York","Art collection","Monaco","M"
1312,2300,"Finance & Investments","Lirio Parisotto",69,"Brazil","Manaus","Investments","Brazil","M"
1312,2300,"Food & Beverage","Augusto Perfetti",67,"Switzerland","Lugano","Candy","Italy","M"
1312,2300,"Food & Beverage","Giorgio Perfetti",67,"Switzerland","Lugano","Candy","Italy","M"
1312,2300,"Fashion & Retail","Alberto Prada",69,"Italy","Milan","Luxury goods","Italy","M"
1312,2300,"Fashion & Retail","Marina Prada",77,"Italy","Milan","Luxury goods","Italy","F"
1312,2300,"Diversified","Filiz Sahenk",56,"Turkey","Istanbul","Diversified","Turkey","F"
1312,2300,"Food & Beverage","Richard Sands",72,"United States","Delray Beach","Liquor","United States","M"
1312,2300,"Finance & Investments","Stephan Schmidheiny",75,"Switzerland","Hurden","Investments","Switzerland","M"
1312,2300,"Healthcare","Alberto Siccardi & family",78,"Switzerland","Lugano","Medical devices","Switzerland","M"
1312,2300,"Real Estate","Stefan Soloviev",47,"United States","Delray Beach","Real estate, grains","United States","M"
1312,2300,"Fashion & Retail","Tang Yiu",89,"Hong Kong","Hong Kong","Fashion retail","Hong Kong","M"
1312,2300,"Technology","Tian Ming",69,"China","Hefei","Measuring instruments","China","M"
1312,2300,"Finance & Investments","T.Y. Tsai",70,"Taiwan","Taipei","Finance","Taiwan","M"
1312,2300,"Technology","Jayshree Ullal",62,"United States","Saratoga","Computer networking","United States","F"
1312,2300,"Finance & Investments","Georg von Opel",56,"United Kingdom","London","Real estate, investments","Switzerland","M"
1312,2300,"Real Estate","Lang Walker",77,"Australia","Sydney","Real estate","Australia","M"
1312,2300,"Manufacturing","Xicheng Wang & family",74,"China","Zhaoyuan","Tires","China","M"
1312,2300,"Real Estate","Wang Zhenhua",61,"China","Shanghai","Real estate","China","M"
1312,2300,"Food & Beverage","Paul-Heinz Wesjohann & family",79,"Germany","Rechterfeld","Chicken processing","Germany","M"
1312,2300,"Fashion & Retail","Xie Bingkun & family",56,"China","Fuzhou","Pearlescent pigments","China","M"
1312,2300,"Manufacturing","Xu Shugen",57,"China","Hangzhou","Construction, mining machinery","China","M"
1312,2300,"Healthcare","Christoph Zeller",65,"Liechtenstein","Vaduz","Dental materials","Liechtenstein","M"
1312,2300,"Manufacturing","Zhang Jingzhang & family",87,"China","Ningbo","Precision machinery","China","M"
1368,2200,"Real Estate","George Argyros & family",86,"United States","Newport Beach","Real estate, investments","United States","M"
1368,2200,"Finance & Investments","Brian Armstrong",40,"United States","San Francisco","Cryptocurrency","United States","M"
1368,2200,"Energy","Albert Avdolyan",52,"Russia","Moscow","Oil, mining","Russia","M"
1368,2200,"Diversified","Sezai Bacaksiz",73,"Turkey","Ankara","Diversified","Turkey","M"
1368,2200,"Technology","Aneel Bhusri",57,"United States","San Francisco","Business software","United States","M"
1368,2200,"Fashion & Retail","Brett Blundy",63,"Bahamas","Paradise Island","Retail, agribusiness","Australia","M"
1368,2200,"Finance & Investments","J. Hyatt Brown",85,"United States","Ormond Beach","Insurance","United States","M"
1368,2200,"Finance & Investments","Chen Jinxia",55,"China","Shanghai","Investments","China","F"
1368,2200,"Healthcare","Chen Xueli",71,"China","Weihai","Pharmaceuticals","China","M"
1368,2200,"Finance & Investments","Dermot Desmond",72,"Ireland","Dublin","Finance","Ireland","M"
1368,2200,"Healthcare","Dong Wei",52,"China","Lianyungang","Pharmaceuticals","China","M"
1368,2200,"Fashion & Retail","Tom Ford",61,"United States","Los Angeles","Fashion","United States","M"
1368,2200,"Food & Beverage","Fu Guangming & family",69,"China","Nanping","Poultry","China","M"
1368,2200,"Finance & Investments","Noam Gottesman",61,"United States","New York","Hedge funds","United States","M"
1368,2200,"Finance & Investments","Jeffrey Gundlach",64,"United States","Los Angeles","Investments","United States","M"
1368,2200,"Healthcare","Hao Hong",67,"China","Tianjin","Pharmaceuticals","United States","M"
1368,2200,"Automotive","Shmuel Harlap",78,"Israel","Tel Aviv","Automotive","Israel","M"
1368,2200,"Technology","Hans-Werner Hector",83,"Germany","Weinheim","SAP","Germany","M"
1368,2200,"Healthcare","Lutz Mario Helmig & family",76,"Germany","Grebenhain","Hospitals","Germany","M"
1368,2200,"Real Estate","Chulong Huang",64,"China","Shenzhen","Real estate","Canada","M"
1368,2200,"Finance & Investments","Thomas James",80,"United States","Saint Petersburg","Finance","United States","M"
1368,2200,"Fashion & Retail","James Jannard",73,"United States","San Juan Islands","Sunglasses","United States","M"
1368,2200,"Automotive","Willis Johnson",75,"United States","Franklin","Damaged cars","United States","M"
1368,2200,"Fashion & Retail","Lai Shixian",48,"China","Quanzhou","Sports apparel","China","M"
1368,2200,"Finance & Investments","Chris Larsen",62,"United States","San Francisco","Cryptocurrency","United States","M"
1368,2200,"Fashion & Retail","Solomon Lew",78,"Australia","Melbourne","Retail","Australia","M"
1368,2200,"Diversified","Liang Xinjun",54,"Singapore","Singapore","Conglomerate","Singapore","M"
1368,2200,"Diversified","Harald Link",68,"Thailand","Bangkok","Diversified","Thailand","M"
1368,2200,"Technology","Max Lytvyn",43,"United States","San Francisco","Software","Canada","M"
1368,2200,"Energy","Igor Makarov",60,"United States","Miami","Investments","Cyprus","M"
1368,2200,"Finance & Investments","Howard Marks",76,"United States","New York","Private equity","United States","M"
1368,2200,"Finance & Investments","Charles Munger",99,"United States","Los Angeles","Berkshire Hathaway","United States","M"
1368,2200,"Real Estate","Adam Neumann",44,"United States","Miami","WeWork","Israel","M"
1368,2200,"Diversified","Thi Phuong Thao Nguyen",52,"Vietnam","Ho Chi Minh City","Airlines","Vietnam","F"
1368,2200,"Food & Beverage","Ni Yongpei & family",71,"China","Liuan","Beverages","China","M"
1368,2200,"Manufacturing","Heloise Pratt",60,"Australia","Melbourne","Manufacturing, investment","Australia","F"
1368,2200,"Technology","Qi Xiangdong",52,"China","Beijing","Software","China","M"
1368,2200,"Technology","Phillip T. (Terry) Ragon",73,"United States","Boston","Health IT","United States","M"
1368,2200,"Healthcare","Prathap Reddy",91,"India","Chennai","Healthcare","India","M"
1368,2200,"Sports","Jerry Reinsdorf",87,"United States","Chicago","Sports teams","United States","M"
1368,2200,"Technology","Chad Richison",52,"United States","Edmond","Payroll processing","United States","M"
1368,2200,"Fashion & Retail","Karl Scheufele, III. & family",84,"Switzerland","Geneva","Jewelry","Switzerland","M"
1368,2200,"Healthcare","Alice Schwartz",96,"United States","El Cerrito","Biotech","United States","F"
1368,2200,"Technology","Alex Shevchenko",43,"Canada","Unknown","Software","Canada","M"
1368,2200,"Technology","Kavitark Ram Shriram",66,"United States","Menlo Park","Venture capital, Google","United States","M"
1368,2200,"Real Estate","Jeffrey Soffer",55,"United States","Aventura","Real estate","United States","M"
1368,2200,"Technology","William Stone",67,"United States","East Lyme","Software","United States","M"
1368,2200,"Finance & Investments","Henry Swieca",65,"United States","New York","Hedge funds","United States","M"
1368,2200,"Diversified","Harley Sy",63,"Philippines","Manila","Diversified","Philippines","M"
1368,2200,"Diversified","Teresita Sy-Coson",72,"Philippines","Manila","Diversified","Philippines","F"
1368,2200,"Real Estate","Katsumi Tada",77,"Japan","Tokyo","Real estate","Japan","M"
1368,2200,"Manufacturing","Tang Jinkui & family",67,"China","Suzhou","Textiles, petrochemicals","China","M"
1368,2200,"Technology","Tang Xiao'ou",55,"China","Shanghai","Software","Hong Kong","M"
1368,2200,"Fashion & Retail","Lottie Tham & family",73,"Sweden","Stockholm","H&M","Sweden","F"
1368,2200,"Healthcare","Shamsheer Vayalil",46,"United Arab Emirates","Abu Dhabi","Healthcare","India","M"
1368,2200,"Technology","Radha Vembu",50,"India","Chennai","Business software","India","F"
1368,2200,"Fashion & Retail","Wang Wenmo",66,"China","Quanzhou","Sports apparel","China","M"
1368,2200,"Service","Wang Zhenghua",78,"China","Shanghai","Budget airline","China","M"
1368,2200,"Food & Beverage","David Wertheim",65,"Israel","Unknown","Coca-Cola Israel","Israel","M"
1368,2200,"Energy","Kai Wu",55,"China","Ningde","Batteries","China","M"
1368,2200,"Food & Beverage","Xu Yingzhuo",55,"China","Guangzhou","Agribusiness","China","M"
1368,2200,"Manufacturing","Yeung Kin-man",59,"Hong Kong","Hong Kong","Electronics","Hong Kong","M"
1368,2200,"Logistics","Huijiao Yu",57,"China","Shanghai","Package delivery","China","M"
1368,2200,"Finance & Investments","Oren Zeev",58,"United States","Los Altos","Investments","Israel","M"
1368,2200,"Manufacturing","Clayton Zekelman",54,"Canada","Windsor","Steel","Canada","M"
1368,2200,"Energy","Zhao Fenggang",57,"China","Ningde","Batteries","China","M"
1434,2100,"Metals & Mining","Alex Beard",55,"United Kingdom","London","Mining, commodities","United Kingdom","M"
1434,2100,"Food & Beverage","Travis Boersma",52,"United States","Grants Pass","Coffee","United States","M"
1434,2100,"Construction & Engineering","Martin Bouygues",68,"France","Paris","Construction, media","France","M"
1434,2100,"Gambling & Casinos","William Boyd & family",91,"United States","Las Vegas","Casinos, banking","United States","M"
1434,2100,"Food & Beverage","Anand Burman",70,"India","Delhi","Consumer goods","India","M"
1434,2100,"Manufacturing","Cao Ji",71,"China","Hangzhou","Manufacturing","China","M"
1434,2100,"Technology","Bruce Cheng",86,"Taiwan","Taipei","Electronics","Taiwan","M"
1434,2100,"Technology","Chi Yufeng",52,"China","Beijing","Software","China","M"
1434,2100,"Energy","Daniel Chiu",62,"Hong Kong","Hong Kong","Oil & gas","Hong Kong","M"
1434,2100,"Healthcare","Beda Diethelm",82,"Switzerland","Zurich","Hearing aids","Switzerland","M"
1434,2100,"Fashion & Retail","Domenico Dolce",64,"Italy","Milan","Luxury goods","Italy","M"
1434,2100,"Technology","Ralph Dommermuth",59,"Germany","Montabaur","Internet service provider","Germany","M"
1434,2100,"Diversified","Georgi Domuschiev",50,"United Kingdom","London","Animal health, investments","Bulgaria","M"
1434,2100,"Diversified","Kiril Domuschiev",53,"United Kingdom","London","Animal health, investments","Bulgaria","M"
1434,2100,"Real Estate","Bob Ell",78,"Australia","Surfers Paradise","Real estate","Australia","M"
1434,2100,"Energy","Paul Foster",65,"United States","El Paso","Oil refining","United States","M"
1434,2100,"Fashion & Retail","Stefano Gabbana",60,"Italy","Milan","Luxury goods","Italy","M"
1434,2100,"Manufacturing","Xingjiang Gao",59,"China","Huzhou","Steel","China","M"
1434,2100,"Energy","Gordon Getty",89,"United States","San Francisco","Getty Oil","United States","M"
1434,2100,"Energy","Kamal Ghaffarian",64,"United States","Naples","Space, energy","United States","M"
1434,2100,"Healthcare","Dennis Gillings",78,"United States","Durham","Clinical trials","United Kingdom","M"
1434,2100,"Diversified","Harsh Goenka",65,"India","Mumbai","Diversified","India","M"
1434,2100,"Diversified","Sanjiv Goenka",62,"India","Kolkata","Diversified","India","M"
1434,2100,"Real Estate","Jane Goldman",67,"United States","New York","Real estate","United States","F"
1434,2100,"Fashion & Retail","Stein Erik Hagen",66,"Norway","Oslo","Consumer goods","Norway","M"
1434,2100,"Real Estate","Bahaa Hariri",56,"Switzerland","Geneva","Real estate, investments","Lebanon","M"
1434,2100,"Fashion & Retail","Hortensia Herrero",72,"Spain","Valencia","Supermarkets","Spain","F"
1434,2100,"Diversified","Douglas Hsu",80,"Taiwan","Taipei","Diversified","Taiwan","M"
1434,2100,"Manufacturing","Huang Min",49,"China","Suzhou","Machinery","China","M"
1434,2100,"Technology","Jared Isaacman",40,"United States","Easton","Payment processing","United States","M"
1434,2100,"Technology","Eugene Kaspersky",57,"Russia","Moscow","Software","Russia","M"
1434,2100,"Fashion & Retail","Artem Khachatryan",48,"Cyprus","Limassol","Retail","Russia","M"
1434,2100,"Food & Beverage","Andrei Krivenko",47,"Russia","Moscow","Retail","Russia","M"
1434,2100,"Real Estate","Thomas Kwok",71,"Hong Kong","Hong Kong","Real estate","Hong Kong","M"
1434,2100,"Manufacturing","Lam Wai-ying",69,"Hong Kong","Hong Kong","Smartphone screens","Hong Kong","F"
1434,2100,"Finance & Investments","Marc Lasry",62,"United States","New York","Hedge funds","United States","M"
1434,2100,"Finance & Investments","Christian Latouche & family",82,"France","Lyon","Accounting services","France","M"
1434,2100,"Sports","Theodore Leonsis",67,"United States","Bethesda","Sports teams","United States","M"
1434,2100,"Real Estate","Lin Chang Su-O",82,"Taiwan","Taipei","Real estate","Taiwan","F"
1434,2100,"Manufacturing","Liu Chengyu & family",60,"China","Shenzhen","Power supply equipment","China","M"
1434,2100,"Fashion & Retail","Sergey Lomakin",49,"Cyprus","Paphos","Retail","Russia","M"
1434,2100,"Food & Beverage","Daniel Lubetzky",54,"United States","New York","Snack bars","United States","M"
1434,2100,"Technology","Melissa Ma",59,"China","Beijing","Internet search","China","F"
1434,2100,"Diversified","Anand Mahindra",67,"India","Mumbai","Diversified","India","M"
1434,2100,"Fashion & Retail","Rafique Malik",72,"India","Mumbai","Footwear","India","M"
1434,2100,"Diversified","Katarina Martinson",41,"Sweden","Stockholm","Investments","Sweden","F"
1434,2100,"Healthcare","Kiran Mazumdar-Shaw",70,"India","Bangalore","Biopharmaceuticals","India","F"
1434,2100,"Automotive","Nirmal Minda",65,"India","Gurgaon","Auto parts","India","M"
