"Genus","Time","Location","Zone","Current_Country","Habitat","Cranial_Capacity","Height","Incisor_Size","Jaw_Shape","Torus_Supraorbital","Prognathism","Foramen_Mágnum_Position","Canine.Size","Canines_Shape","Tooth_Enamel","Tecno","Tecno_type","biped","Arms","Foots","Diet","Sexual_Dimorphism","Hip","Vertical_Front","Anatomy","Migrated","Skeleton"
"Australopithecus Anamensis",4.17,"Africa","oriental","Kenya","forest-gallery",298.44,114.13,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"hominino Sahelanthropus tchadensis",7.55,"Africa","central","Republic of Chad","mixed",33.95,84.07,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Antecesor",1.11,"Europa","west","Spain","savannah",971.42,160.92,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Australopithecus Afarensis",4.28,"Africa","oriental","Kenya","mixed",404.64,133.32,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Ergaster",2.14,"Africa","oriental","Kenya","savannah",702.3,152.62,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Ergaster",1.24,"Africa","oriental","Kenya","savannah",743.84,158.99,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Paranthropus Robustus",2.45,"Africa","south","South Africa","jungle",423.21,112.33,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Sediba",2.13,"Africa","south","South Africa","mixed",449.52,117.54,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"Homo Antecesor",1.54,"Europa","west","Spain","savannah",1120.13,167.58,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Homo Habilis",2.37,"Africa","oriental","Ethiopia","savannah",735.53,137.8,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"Australopithecus Afarensis",4.35,"Africa","oriental","Kenya","mixed",358.62,121.95,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Australopithecus Africanus",3.21,"Africa","south","South Africa","forest-gallery",482.91,110.47,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"Australopithecus Anamensis",4.63,"Africa","oriental","Kenya","forest-gallery",348.72,128.33,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Paranthropus Aethiopicus",2.81,"Africa","oriental","Kenya","forest-savanna",565.94,109.42,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Sapiens",0.83,"Africa","oriental","Kenya","savannah",1323.54,177.68,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Australopithecus Bahrelghazali",3.43,"Africa","central","Republic of Chad","mixed",425.77,125.86,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Homo Habilis",2.37,"Africa","oriental","Ethiopia","savannah",856.6,132.07,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"Homo Sapiens",0.06,"Africa","oriental","Kenya","savannah",1093.92,177.79,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Australopithecus Africanus",3.24,"Africa","south","South Africa","forest-gallery",685.75,107.41,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"Homo Heidelbergensis",0.45,"Europa","central","Germany","cold forest",1304.24,169.47,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Floresiensis",0.15,"Asia ","oriental","Indonesia","peninsular",282.5,109.16,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Paranthropus Robustus",2.54,"Africa","south","South Africa","jungle",452.65,123.45,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Paranthropus Robustus",2.05,"Africa","south","South Africa","jungle",390.44,112.09,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Paranthropus Aethiopicus",2.87,"Africa","oriental","Kenya","forest-savanna",576.31,102.49,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Anamensis",4.76,"Africa","oriental","Kenya","forest-gallery",262.19,126.79,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Floresiensis",0.97,"Asia ","oriental","Indonesia","peninsular",204.92,106.65,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Sapiens",0.81,"Africa","oriental","Kenya","savannah",1226.57,171.4,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"hominino Orrorin tugenencin",6.32,"Africa","oriental","Kenya","forest",13.75,118.32,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Georgicus",2.08,"Asia ","west","Georgia","savannah",847.66,148.33,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Habilis",2.96,"Africa","oriental","Ethiopia","savannah",748.26,122.99,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"Paranthropus Aethiopicus",2.41,"Africa","oriental","Kenya","forest-savanna",571.12,102.86,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Anamensis",4.2,"Africa","oriental","Kenya","forest-gallery",379.92,127.2,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Paranthropus Aethiopicus",2.74,"Africa","oriental","Kenya","forest-savanna",526.5,104.09,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Floresiensis",0.33,"Asia ","oriental","Indonesia","peninsular",439.15,98.45,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Anamensis",3.94,"Africa","oriental","Kenya","forest-gallery",321.44,115.43,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Georgicus",1.99,"Asia ","west","Georgia","savannah",808.55,144.88,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"hominino Ardipithecus ramidus / kabadda",3.94,"Africa","oriental","Ethiopia","mixed",193.66,103.86,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Homo Rodhesiensis",0.44,"Africa","oriental","Ethiopia","savannah",1238.55,142.9,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Australopithecus Bahrelghazali",4.18,"Africa","central","Republic of Chad","mixed",363.31,112.4,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Australopithecus Sediba",2.59,"Africa","south","South Africa","mixed",484.5,101.4,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"Homo Naledi",0.82,"Africa","south","South Africa","jungle",234.74,130.71,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"hominino Sahelanthropus tchadensis",7.11,"Africa","central","Republic of Chad","mixed",142.02,89.27,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Sapiens",0.82,"Africa","oriental","Kenya","savannah",1235.77,162.76,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Paranthropus Robustus",2.47,"Africa","south","South Africa","jungle",440.57,112.27,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Habilis",3.12,"Africa","oriental","Ethiopia","savannah",604.61,132.38,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"Homo Habilis",2.75,"Africa","oriental","Ethiopia","savannah",613.97,132.16,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"Homo Naledi",0.96,"Africa","south","South Africa","jungle",438.14,120.5,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"hominino Sahelanthropus tchadensis",7.49,"Africa","central","Republic of Chad","mixed",280.53,97.2,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Rudolfensis",3.18,"Africa","oriental","Kenya","savannah",655.88,131.96,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"hominino Ardipithecus ramidus / kabadda",4.3,"Africa","oriental","Ethiopia","mixed",370.09,111.93,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Australopithecus Africanus",3.67,"Africa","south","South Africa","forest-gallery",576.74,114.68,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"Homo Rudolfensis",2.92,"Africa","oriental","Kenya","savannah",608.42,126.33,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Homo Naledi",0.26,"Africa","south","South Africa","jungle",384.73,137.3,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Africanus",3.56,"Africa","south","South Africa","forest-gallery",599.92,108.68,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"Homo Georgicus",1.91,"Asia ","west","Georgia","savannah",718.27,143.08,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Naledi",0.59,"Africa","south","South Africa","jungle",233.53,133.8,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Sapiens",0.22,"Africa","oriental","Kenya","savannah",1215.97,161.96,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Paranthropus Boisei",2.81,"Africa","oriental","Ethiopia","forest",628.5,117.87,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Garhi",2.55,"Africa","oriental","Ethiopia","mixed",390.59,119.44,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Heidelbergensis",0.66,"Europa","central","Germany","cold forest",1389,167.19,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Habilis",2.55,"Africa","oriental","Ethiopia","savannah",661.74,132.02,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"Homo Heidelbergensis",0.94,"Europa","central","Germany","cold forest",1384.43,170.72,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"hominino Ardipithecus ramidus / kabadda",3.71,"Africa","oriental","Ethiopia","mixed",314.27,115.81,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Australopithecus Afarensis",3.73,"Africa","oriental","Kenya","mixed",240.14,132.73,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Paranthropus Boisei",2.97,"Africa","oriental","Ethiopia","forest",420.66,113.18,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Paranthropus Robustus",1.72,"Africa","south","South Africa","jungle",596.6,115.92,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Afarensis",4.11,"Africa","oriental","Kenya","mixed",223.56,133.65,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Neanderthalensis
",0.18,"Europa","central","Germany","cold forest",1067.39,155.41,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Australopithecus Garhi",2.47,"Africa","oriental","Ethiopia","mixed",373.43,122.8,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Paranthropus Aethiopicus",2.97,"Africa","oriental","Kenya","forest-savanna",401.91,115.1,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Naledi",0.48,"Africa","south","South Africa","jungle",461.58,136.83,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Sapiens",0.93,"Africa","oriental","Kenya","savannah",1344.03,171.54,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Paranthropus Boisei",2.84,"Africa","oriental","Ethiopia","forest",477.58,105.42,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"hominino Orrorin tugenencin",6.35,"Africa","oriental","Kenya","forest",295.16,117.13,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Naledi",0.92,"Africa","south","South Africa","jungle",471.71,125.4,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Erectus",1.17,"Asia ","west","Indonesia","savannah",988.28,169.57,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Rudolfensis",2.42,"Africa","oriental","Kenya","savannah",786.17,131.29,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Australopithecus Bahrelghazali",3.52,"Africa","central","Republic of Chad","mixed",436.18,125.1,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Homo Neanderthalensis
",0.87,"Europa","central","Germany","cold forest",960.99,156.36,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Georgicus",1.65,"Asia ","west","Georgia","savannah",734.42,156.23,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Neanderthalensis
",0.39,"Europa","central","Germany","cold forest",1241.62,161.19,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Australopithecus Sediba",1.91,"Africa","south","South Africa","mixed",508.64,102.5,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"Homo Antecesor",0.79,"Europa","west","Spain","savannah",874.59,163.14,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Homo Naledi",0.89,"Africa","south","South Africa","jungle",475.47,125.55,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Habilis",2.24,"Africa","oriental","Ethiopia","savannah",771.25,124.69,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"hominino Orrorin tugenencin",6.27,"Africa","oriental","Kenya","forest",172.62,110.87,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"hominino Ardipithecus ramidus / kabadda",4.46,"Africa","oriental","Ethiopia","mixed",358.37,105.96,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Australopithecus Anamensis",4.27,"Africa","oriental","Kenya","forest-gallery",218.81,112.18,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Rudolfensis",2.34,"Africa","oriental","Kenya","savannah",624.28,123.84,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Homo Erectus",1.79,"Asia ","west","Indonesia","savannah",1180.14,154.04,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Rudolfensis",2.47,"Africa","oriental","Kenya","savannah",772.39,124.14,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Homo Ergaster",1.73,"Africa","oriental","Kenya","savannah",711.76,163.3,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Paranthropus Aethiopicus",2.89,"Africa","oriental","Kenya","forest-savanna",464.4,105.23,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Garhi",2.78,"Africa","oriental","Ethiopia","mixed",269.79,117.17,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Ergaster",1.47,"Africa","oriental","Kenya","savannah",996.89,154.06,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Anamensis",4.76,"Africa","oriental","Kenya","forest-gallery",487.72,111.72,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"hominino Ardipithecus ramidus / kabadda",3.76,"Africa","oriental","Ethiopia","mixed",273.68,116.04,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"hominino Orrorin tugenencin",6.45,"Africa","oriental","Kenya","forest",35.32,128.25,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Floresiensis",0.78,"Asia ","oriental","Indonesia","peninsular",167.73,92.67,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Rodhesiensis",0.93,"Africa","oriental","Ethiopia","savannah",988.6,141.8,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Homo Heidelbergensis",0.43,"Europa","central","Germany","cold forest",1215.59,174.39,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Erectus",1.99,"Asia ","west","Indonesia","savannah",1072.02,166.38,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"hominino Ardipithecus ramidus / kabadda",4.53,"Africa","oriental","Ethiopia","mixed",252.96,113.18,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Australopithecus Bahrelghazali",4.12,"Africa","central","Republic of Chad","mixed",425.09,126.16,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"hominino Orrorin tugenencin",6.33,"Africa","oriental","Kenya","forest",292.39,129.8,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Bahrelghazali",3.93,"Africa","central","Republic of Chad","mixed",297.91,121.78,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Homo Heidelbergensis",1.1,"Europa","central","Germany","cold forest",1201.25,179.64,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Antecesor",0.91,"Europa","west","Spain","savannah",1092.25,179.69,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Australopithecus Garhi",2.98,"Africa","oriental","Ethiopia","mixed",416.84,126.99,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"hominino Orrorin tugenencin",6.02,"Africa","oriental","Kenya","forest",109.76,119.98,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Sediba",1.9,"Africa","south","South Africa","mixed",464.76,103.2,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"Homo Rodhesiensis",1,"Africa","oriental","Ethiopia","savannah",1083.08,152.2,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Paranthropus Boisei",2.66,"Africa","oriental","Ethiopia","forest",486.21,103.03,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"hominino Sahelanthropus tchadensis",6.84,"Africa","central","Republic of Chad","mixed",144.81,82.73,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Bahrelghazali",3.69,"Africa","central","Republic of Chad","mixed",224.93,129.82,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Australopithecus Africanus",3.35,"Africa","south","South Africa","forest-gallery",533.32,100.08,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"Paranthropus Boisei",2.25,"Africa","oriental","Ethiopia","forest",504.41,113.36,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Rudolfensis",3.01,"Africa","oriental","Kenya","savannah",625.56,131.5,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Homo Georgicus",2.31,"Asia ","west","Georgia","savannah",637.79,141.56,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Naledi",0.98,"Africa","south","South Africa","jungle",454.33,123.26,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
